,sample,corr_alk mol/kg
1,AMS_TFCP3_A15_POST1_20190702,2290.065204
2,AMS_TFCP3_A15_POST3_20190704,2328.532842
3,AMS_TFCP3_A15_POST5_20190706,2350.01203
4,AMS_TFCP3_A15_PRE0_20190701,2266.365763
5,AMS_TFCP3_A15_PRE2_20190703,2245.218106
6,AMS_TFCP3_A15_PRE4_20190705,2286.237528
7,AMS_TFCP3_A16_POST1_20190702,2210.668561
8,AMS_TFCP3_A16_POST3_20190704,2210.598236
9,AMS_TFCP3_A16_POST5_20190706,2231.61529
10,AMS_TFCP3_A16_PRE0_20190701,2218.203356
11,AMS_TFCP3_A16_PRE2_20190703,2217.891918
12,AMS_TFCP3_A16_PRE4_20190705,2234.548837
13,AMS_TFCP3_A17_POST1_20190702,2233.745125
14,AMS_TFCP3_A17_POST3_20190704,2225.687918
15,AMS_TFCP3_A17_POST5_20190706,2243.510219
16,AMS_TFCP3_A17_PRE0_20190701,2225.115274
17,AMS_TFCP3_A17_PRE2_20190703,2230.510187
18,AMS_TFCP3_A17_PRE4_20190705,2252.411323
19,AMS_TFCP3_A18_POST1_20190702,2247.820122
20,AMS_TFCP3_A18_POST3_20190704,2214.677072
21,AMS_TFCP3_A18_POST5_20190706,2240.184863
22,AMS_TFCP3_A18_PRE0_20190701,2236.106028
23,AMS_TFCP3_A18_PRE2_20190703,2207.02172
24,AMS_TFCP3_A18_PRE4_20190705,2225.918985
25,AMS_TFCP3_A19_POST1_20190702,2283.344167
26,AMS_TFCP3_A19_POST3_20190704,2233.755172
27,AMS_TFCP3_A19_POST5_20190706,2252.582112
28,AMS_TFCP3_A19_PRE0_20190701,2266.496366
29,AMS_TFCP3_A19_PRE2_20190703,2261.171778
30,AMS_TFCP3_A19_PRE4_20190705,2245.901261
31,AMS_TFCP3_A20_POST1_20190702,2287.001054
32,AMS_TFCP3_A20_POST3_20190704,2281.817115
33,AMS_TFCP3_A20_POST5_20190706,2286.257621
34,AMS_TFCP3_A20_PRE0_20190701,2243.329384
35,AMS_TFCP3_A20_PRE2_20190703,2247.217338
36,AMS_TFCP3_A20_PRE4_20190705,2251.909004
37,AMS_TFCP3_A21_POST1_20190702,2216.827
38,AMS_TFCP3_A21_POST3_20190704,2220.262866
39,AMS_TFCP3_A21_POST5_20190706,2237.773729
